iter	Passed	Remaining
0	82	82816
1	118	59224
2	155	51703
3	211	52734
4	244	48655
5	283	46950
6	307	43617
7	350	43514
8	372	41066
9	413	40905
10	452	40711
11	494	40695
12	531	40368
13	579	40810
14	631	41481
15	672	41336
16	714	41303
17	763	41654
18	800	41322
19	858	42060
20	932	43482
21	1008	44814
22	1051	44651
23	1091	44375
24	1151	44897
25	1197	44842
26	1222	44052
27	1271	44139
28	1317	44106
29	1377	44527
30	1457	45570
31	1501	45410
32	1533	44949
33	1571	44651
34	1612	44467
35	1660	44460
36	1704	44352
37	1744	44151
38	1783	43957
39	1825	43820
40	1875	43878
41	1920	43808
42	1960	43630
43	2007	43625
44	2049	43492
45	2084	43227
46	2121	43024
47	2165	42952
48	2201	42728
49	2272	43171
50	2345	43641
51	2386	43506
52	2435	43508
53	2481	43478
54	2524	43371
55	2566	43260
56	2612	43218
57	2633	42769
58	2674	42654
59	2707	42419
60	2752	42369
61	2804	42423
62	2857	42502
63	2902	42454
64	2948	42419
65	2996	42411
66	3052	42508
67	3101	42501
68	3149	42492
69	3195	42448
70	3248	42506
71	3322	42823
72	3366	42754
73	3423	42837
74	3513	43339
75	3589	43645
76	3668	43972
77	3737	44183
78	3873	45160
79	4054	46627
80	4150	47092
81	4206	47094
82	4266	47135
83	4355	47491
84	4414	47524
85	4499	47821
86	4566	47924
87	4651	48205
88	4734	48461
89	4782	48358
90	4810	48050
91	4874	48105
92	4935	48133
93	4990	48100
94	5071	48311
95	5175	48735
96	5257	48940
97	5350	49243
98	5428	49404
99	5489	49409
100	5543	49342
101	5571	49049
102	5631	49039
103	5686	48990
104	5721	48769
105	5778	48731
106	5831	48668
107	5866	48454
108	5915	48356
109	5953	48170
110	6005	48102
111	6036	47863
112	6068	47632
113	6097	47386
114	6146	47298
115	6202	47267
116	6274	47351
117	6321	47248
118	6371	47172
119	6416	47056
120	6502	47238
121	6603	47526
122	6655	47456
123	6767	47810
124	6866	48066
125	6927	48050
126	7012	48206
127	7085	48270
128	7137	48192
129	7226	48359
130	7279	48290
131	7308	48058
132	7366	48020
133	7425	47986
134	7471	47873
135	7533	47859
136	7565	47655
137	7596	47450
138	7649	47380
139	7687	47225
140	7719	47027
141	7768	46940
142	7824	46891
143	7881	46850
